session_id,user_id,device_type,experiment_variant,session_start_time,session_date
sess_e79590cf28574e43,6582.0,mobile,treatment_ai_search,2026-08-20 05:06:17.129477,2026-08-20
sess_37c8544e68264a68,10730.0,desktop,control_keyword,2026-08-19 07:28:10.553167,2026-08-19
sess_7dc9f07235974c49,,mobile,treatment_ai_search,2026-09-05 07:18:59.290079,2026-09-05
sess_586dfd21e63b4e0b,9618.0,tablet,control_keyword,2026-08-27 06:45:12.530170,2026-08-27
sess_ed723737e4304b5c,10892.0,desktop,treatment_ai_search,2026-08-28 16:52:35.586797,2026-08-28
sess_793dadbb959642a4,9725.0,mobile,control_keyword,2026-08-25 17:34:41.008106,2026-08-25
sess_4d6828b94399449c,7310.0,mobile,treatment_ai_search,2026-09-10 01:48:02.014449,2026-09-10
sess_c50e7437ea454346,7543.0,mobile,control_keyword,2026-08-25 23:35:28.093424,2026-08-25
sess_6376a3e9cdc2417c,9093.0,mobile,treatment_ai_search,2026-08-23 08:12:43.701203,2026-08-23
sess_9756796486c04a77,,desktop,control_keyword,2026-08-23 21:12:40.914121,2026-08-23
sess_b4fddf62eced4dc0,,desktop,treatment_ai_search,2026-09-12 10:32:44.212553,2026-09-12
sess_6a684b2dbc264588,6988.0,desktop,control_keyword,2026-08-16 13:07:37.152246,2026-08-16
sess_61808ffda2aa4e06,6477.0,mobile,treatment_ai_search,2026-09-05 07:33:42.931329,2026-09-05
sess_e4f3e9b12c8a4425,10543.0,desktop,control_keyword,2026-08-19 01:16:47.570828,2026-08-19
sess_77e76111b65e4bbe,7501.0,mobile,treatment_ai_search,2026-08-15 11:50:36.973803,2026-08-15
sess_606b607d49ce43cb,8923.0,mobile,control_keyword,2026-09-05 03:12:03.397061,2026-09-05
sess_2bb56d850a2f4589,10091.0,mobile,treatment_ai_search,2026-09-03 01:22:36.096704,2026-09-03
sess_422a44276fd34d32,,desktop,control_keyword,2026-09-01 06:33:20.574397,2026-09-01
sess_8515e7352ac24d76,9266.0,mobile,treatment_ai_search,2026-09-05 14:10:44.734590,2026-09-05
sess_ac6153ab72f747d4,6227.0,mobile,control_keyword,2026-08-21 07:23:24.666286,2026-08-21
sess_02d6d854821a44b2,6844.0,mobile,treatment_ai_search,2026-09-01 02:19:49.143749,2026-09-01
sess_8b881c3244174355,6020.0,mobile,control_keyword,2026-09-10 11:03:49.027008,2026-09-10
sess_46491a4aa4134ad5,7155.0,tablet,treatment_ai_search,2026-08-28 19:49:44.964072,2026-08-28
sess_3b598d4512ee48cf,8130.0,desktop,control_keyword,2026-08-24 23:30:51.163292,2026-08-24
sess_9aad8f8a1d704a7c,9536.0,mobile,treatment_ai_search,2026-09-12 20:31:27.470447,2026-09-12
sess_17621a88ac3a45c9,11929.0,mobile,control_keyword,2026-08-19 09:42:58.081336,2026-08-19
sess_947c60eb161b4714,,mobile,treatment_ai_search,2026-08-17 19:42:09.332027,2026-08-17
sess_97b5dbb711ba4269,10492.0,desktop,control_keyword,2026-09-13 18:03:15.679017,2026-09-13
sess_181b8e19fb8e4e26,,mobile,treatment_ai_search,2026-08-18 07:15:46.025703,2026-08-18
sess_24ad6e97b18547ac,11488.0,mobile,control_keyword,2026-09-13 02:23:05.810373,2026-09-13
sess_7de2c31782004868,10364.0,desktop,treatment_ai_search,2026-08-24 13:05:33.745701,2026-08-24
sess_80fdde6743134c63,,mobile,control_keyword,2026-09-13 19:34:33.272726,2026-09-13
sess_e30cc90271fb4940,,mobile,treatment_ai_search,2026-09-10 19:50:18.924500,2026-09-10
sess_ccfd1c0ba93b458b,11814.0,mobile,control_keyword,2026-08-30 00:46:55.935058,2026-08-30
sess_71cc9e1e9f074a85,8509.0,desktop,treatment_ai_search,2026-08-28 05:58:40.349922,2026-08-28
sess_a442b06024654ac5,6432.0,mobile,control_keyword,2026-08-18 03:23:10.157286,2026-08-18
sess_e5c99001787440f1,9430.0,mobile,treatment_ai_search,2026-08-17 10:32:04.291858,2026-08-17
sess_004bdfb2fea549e1,7564.0,desktop,control_keyword,2026-09-07 18:35:50.281286,2026-09-07
sess_ce98719d197e400a,9698.0,mobile,treatment_ai_search,2026-09-05 02:06:43.287922,2026-09-05
sess_731e50ec2cdc4f84,6693.0,mobile,control_keyword,2026-09-01 23:40:22.766178,2026-09-01
sess_28e29fa8574e4f37,10019.0,mobile,treatment_ai_search,2026-08-24 23:24:55.113041,2026-08-24
sess_10c1c12dc41d4937,,desktop,control_keyword,2026-08-20 18:55:49.118518,2026-08-20
sess_7553b2eca5e0492c,10381.0,mobile,treatment_ai_search,2026-08-20 12:17:39.176993,2026-08-20
sess_b068c0b107af4581,8162.0,mobile,control_keyword,2026-08-27 08:31:55.132453,2026-08-27
sess_1100df0a8a0a4b73,,mobile,treatment_ai_search,2026-09-12 14:45:17.792813,2026-09-12
sess_05d82b75bdb5463e,7221.0,mobile,control_keyword,2026-09-11 21:21:34.041543,2026-09-11
sess_b6db34f72a5f43d5,8401.0,desktop,treatment_ai_search,2026-08-31 09:46:06.130950,2026-08-31
sess_a55ccf0133d14f39,,desktop,control_keyword,2026-08-18 13:22:29.331205,2026-08-18
sess_dcc30f56a6474f85,10524.0,mobile,treatment_ai_search,2026-08-31 04:11:37.081163,2026-08-31
sess_981029ded9fe4e8e,11626.0,mobile,control_keyword,2026-08-29 02:17:09.729553,2026-08-29
sess_aef00cdb0d464ea2,8295.0,desktop,treatment_ai_search,2026-08-14 23:33:32.644426,2026-08-14
sess_a4e8632b88e04b76,,desktop,control_keyword,2026-09-04 01:16:02.329547,2026-09-04
sess_94b9b029b92b4540,9320.0,mobile,treatment_ai_search,2026-09-04 20:39:42.070376,2026-09-04
sess_f7bd6150fb824f59,8819.0,mobile,control_keyword,2026-09-02 13:01:08.473870,2026-09-02
sess_1ccfb15538c64a54,9072.0,mobile,treatment_ai_search,2026-09-04 04:46:56.031893,2026-09-04
sess_2433a27cc6f34efd,11503.0,mobile,control_keyword,2026-08-21 13:09:59.428330,2026-08-21
sess_8ddd5df1450f41ce,11172.0,mobile,treatment_ai_search,2026-08-29 03:28:23.702026,2026-08-29
sess_4497f72897dd46c1,11963.0,tablet,control_keyword,2026-08-16 18:44:36.625800,2026-08-16
sess_0d1a766727254329,10715.0,mobile,treatment_ai_search,2026-09-04 16:47:00.127740,2026-09-04
sess_26ab4a54678945f3,11408.0,mobile,control_keyword,2026-08-26 14:57:16.928486,2026-08-26
sess_f77b267c8075497e,6611.0,mobile,treatment_ai_search,2026-08-25 14:09:51.354656,2026-08-25
sess_59977641c0da4c6e,8985.0,mobile,control_keyword,2026-09-12 18:35:11.260213,2026-09-12
sess_cc658edea82c4fcf,10329.0,desktop,treatment_ai_search,2026-09-11 17:33:23.046577,2026-09-11
sess_d45e0556b8d745c2,6663.0,mobile,control_keyword,2026-08-29 20:40:18.255843,2026-08-29
sess_cbb7247296cf448a,,mobile,treatment_ai_search,2026-09-03 22:12:52.445015,2026-09-03
sess_ff61adaec17d4311,7188.0,mobile,control_keyword,2026-08-20 14:01:45.942332,2026-08-20
sess_ca7bb9e3da4f4ea1,10508.0,mobile,treatment_ai_search,2026-08-21 18:40:56.348802,2026-08-21
sess_247474b2f58644b0,7284.0,mobile,control_keyword,2026-09-10 21:07:28.295587,2026-09-10
sess_162b7c4c3bf44c75,10137.0,mobile,treatment_ai_search,2026-08-21 16:39:19.802912,2026-08-21
sess_527432872aa4427e,10532.0,mobile,control_keyword,2026-09-01 16:50:26.599845,2026-09-01
sess_deb9364c630342a7,11546.0,mobile,treatment_ai_search,2026-09-07 21:38:20.738988,2026-09-07
sess_a9370cec2dcb46f3,11619.0,desktop,control_keyword,2026-08-23 15:44:42.607313,2026-08-23
sess_5668c199499243b0,7325.0,mobile,treatment_ai_search,2026-08-20 03:27:06.761459,2026-08-20
sess_c360318a822c4a31,6573.0,mobile,control_keyword,2026-08-15 23:51:42.074713,2026-08-15
sess_43a314c1def1403f,10657.0,mobile,treatment_ai_search,2026-08-24 20:35:43.314821,2026-08-24
sess_dd18666f2c1c4008,9290.0,desktop,control_keyword,2026-08-16 17:25:58.199908,2026-08-16
sess_df5af4e5fbdd4ea1,10786.0,mobile,treatment_ai_search,2026-09-12 06:41:04.931425,2026-09-12
sess_8d671d453f304858,11040.0,mobile,control_keyword,2026-08-15 08:58:21.152423,2026-08-15
sess_fa8483071ee34e84,10791.0,desktop,treatment_ai_search,2026-08-20 05:54:05.116528,2026-08-20
sess_ca0e82fc75c64c71,10488.0,mobile,control_keyword,2026-08-15 04:42:23.331494,2026-08-15
sess_1bc636d96dbf480a,10020.0,desktop,treatment_ai_search,2026-08-20 08:33:10.016904,2026-08-20
sess_4071ea2a92d44378,11612.0,desktop,control_keyword,2026-09-07 11:26:44.853026,2026-09-07
sess_48879596d2464626,,mobile,treatment_ai_search,2026-08-19 14:37:48.559309,2026-08-19
sess_aad9d350d6614a0d,11019.0,tablet,control_keyword,2026-09-09 00:43:02.273966,2026-09-09
sess_b8fe3342c3f3470c,6565.0,mobile,treatment_ai_search,2026-09-03 16:59:06.976705,2026-09-03
sess_0311c59eefdc432d,11585.0,desktop,control_keyword,2026-09-01 02:24:46.401177,2026-09-01
sess_d566a8095e694cb2,8441.0,desktop,treatment_ai_search,2026-08-26 19:09:09.173931,2026-08-26
sess_20b20e667f604d0a,6399.0,mobile,control_keyword,2026-08-27 13:47:57.749370,2026-08-27
sess_7ceb6beea16c45ea,7543.0,mobile,treatment_ai_search,2026-08-16 20:11:55.398215,2026-08-16
sess_5d25beff9019477a,10947.0,desktop,control_keyword,2026-09-05 04:50:26.875343,2026-09-05
sess_9949194055c74350,6815.0,mobile,treatment_ai_search,2026-08-19 15:07:47.626960,2026-08-19
sess_5699018b52d14242,6231.0,desktop,control_keyword,2026-08-21 07:24:25.658887,2026-08-21
sess_efb44fb9cec0431c,8840.0,desktop,treatment_ai_search,2026-09-08 08:15:01.822658,2026-09-08
sess_9bbec5e8987e44a2,9087.0,desktop,control_keyword,2026-08-16 22:34:09.218382,2026-08-16
sess_e7729d89ad4f4589,,desktop,treatment_ai_search,2026-08-22 18:41:26.105246,2026-08-22
sess_c80a18288fca455c,11895.0,mobile,control_keyword,2026-08-31 10:37:55.502609,2026-08-31
sess_1a2b203798f641d6,10379.0,mobile,treatment_ai_search,2026-08-29 12:23:42.679140,2026-08-29
sess_0d063372f2884207,8842.0,mobile,control_keyword,2026-09-01 14:57:22.755601,2026-09-01
sess_c9052bd531984ace,9381.0,mobile,treatment_ai_search,2026-09-05 18:08:16.775864,2026-09-05
sess_cc398f535fa243f2,,mobile,control_keyword,2026-08-27 03:13:42.706608,2026-08-27
sess_d99df331a2544f88,7476.0,mobile,treatment_ai_search,2026-09-10 21:57:15.916600,2026-09-10
sess_5c5d5166db974b10,6513.0,mobile,control_keyword,2026-08-28 19:20:27.172871,2026-08-28
sess_23f1a4196a3340d9,,mobile,treatment_ai_search,2026-08-17 12:52:47.762952,2026-08-17
sess_9b90b4f2ec734558,6174.0,mobile,control_keyword,2026-08-18 08:53:35.855850,2026-08-18
sess_f5eb18432c0e4702,,mobile,treatment_ai_search,2026-09-02 08:51:09.573818,2026-09-02
sess_bfa10991c0274289,9191.0,desktop,control_keyword,2026-08-23 16:23:46.903429,2026-08-23
sess_4cd8cf4ec5d040d4,7833.0,desktop,treatment_ai_search,2026-09-02 19:53:49.739444,2026-09-02
sess_d0fdf71da16b4c45,9338.0,mobile,control_keyword,2026-08-25 23:58:31.124439,2026-08-25
sess_f14aaed190144c0f,10726.0,desktop,treatment_ai_search,2026-09-04 21:23:50.411554,2026-09-04
sess_1ac26f4335e04cbe,8225.0,mobile,control_keyword,2026-09-03 20:10:08.702484,2026-09-03
sess_54385d8dbfeb47d3,10594.0,mobile,treatment_ai_search,2026-08-28 18:42:20.842194,2026-08-28
sess_2f5bd6779afa452f,6102.0,mobile,control_keyword,2026-08-22 09:29:05.766442,2026-08-22
