order_id,user_id,session_id,total_amount,discount_amount,delivery_fee,final_amount,delivery_days,payment_method,status,shipping_city,shipping_pincode,created_at,order_date
TL-ORD-4E5A5E630E,6582.0,sess_e79590cf28574e43,2936,440.4,0,2495.6,4,COD,CONFIRMED,Pune,616574,2026-08-20 05:09:07.129477,2026-08-20
TL-ORD-6A1CB688EC,9725.0,sess_793dadbb959642a4,3471,520.65,0,2950.35,3,UPI,CONFIRMED,Pune,277247,2026-08-25 17:38:03.008106,2026-08-25
TL-ORD-B8B30A4691,7310.0,sess_4d6828b94399449c,2773,0.0,0,2773.0,2,NetBanking,CONFIRMED,Chennai,444901,2026-09-10 01:51:16.014449,2026-09-10
TL-ORD-C0623286F2,6477.0,sess_61808ffda2aa4e06,5006,0.0,0,5006.0,6,Card,CONFIRMED,Bengaluru,473788,2026-09-05 07:35:57.931329,2026-09-05
TL-ORD-9AE39DA1C9,7501.0,sess_77e76111b65e4bbe,2589,388.35,0,2200.65,2,UPI,CONFIRMED,Pune,530885,2026-08-15 11:53:23.973803,2026-08-15
TL-ORD-44F08856A4,8923.0,sess_606b607d49ce43cb,1299,0.0,0,1299.0,3,UPI,CONFIRMED,Chennai,356085,2026-09-05 03:15:00.397061,2026-09-05
TL-ORD-5380776477,9266.0,sess_8515e7352ac24d76,2339,0.0,0,2339.0,2,UPI,CONFIRMED,Pune,361485,2026-09-05 14:13:01.734590,2026-09-05
TL-ORD-913931458B,,sess_e30cc90271fb4940,1339,0.0,0,1339.0,3,UPI,CONFIRMED,Mumbai,294561,2026-09-10 19:52:34.924500,2026-09-10
TL-ORD-7FC44E1F2F,6432.0,sess_a442b06024654ac5,3177,0.0,0,3177.0,3,UPI,CONFIRMED,Chennai,380998,2026-08-18 03:25:44.157286,2026-08-18
TL-ORD-7ED50766C3,8295.0,sess_aef00cdb0d464ea2,3421,513.15,0,2907.85,6,UPI,CONFIRMED,Pune,668915,2026-08-14 23:36:49.644426,2026-08-14
TL-ORD-725AD63653,8819.0,sess_f7bd6150fb824f59,1564,0.0,0,1564.0,2,NetBanking,CONFIRMED,Pune,601517,2026-09-02 13:03:54.473870,2026-09-02
TL-ORD-2110A0CCDE,9072.0,sess_1ccfb15538c64a54,5184,777.6,0,4406.4,6,UPI,CONFIRMED,Delhi NCR,532797,2026-09-04 04:50:06.031893,2026-09-04
TL-ORD-9B5481B5C0,11963.0,sess_4497f72897dd46c1,4596,689.4,0,3906.6,3,Card,CONFIRMED,Pune,498222,2026-08-16 18:46:47.625800,2026-08-16
TL-ORD-719E907FE0,10715.0,sess_0d1a766727254329,3976,0.0,0,3976.0,2,Card,CONFIRMED,Delhi NCR,651096,2026-09-04 16:50:12.127740,2026-09-04
TL-ORD-4CC041383C,6611.0,sess_f77b267c8075497e,1875,0.0,0,1875.0,4,Card,CONFIRMED,Bengaluru,478742,2026-08-25 14:13:07.354656,2026-08-25
TL-ORD-177A3EDA3E,6663.0,sess_d45e0556b8d745c2,3777,0.0,0,3777.0,4,COD,CONFIRMED,Delhi NCR,649033,2026-08-29 20:42:46.255843,2026-08-29
TL-ORD-BB96C1C043,,sess_cbb7247296cf448a,1199,0.0,0,1199.0,2,COD,CONFIRMED,Bengaluru,157790,2026-09-03 22:15:32.445015,2026-09-03
TL-ORD-014BDA751C,10657.0,sess_43a314c1def1403f,3857,0.0,0,3857.0,5,UPI,CONFIRMED,Chennai,378285,2026-08-24 20:38:41.314821,2026-08-24
TL-ORD-E4AA311A79,10020.0,sess_1bc636d96dbf480a,3177,0.0,0,3177.0,3,UPI,CONFIRMED,Pune,445735,2026-08-20 08:36:47.016904,2026-08-20
TL-ORD-076935E7CE,6231.0,sess_5699018b52d14242,2435,365.25,0,2069.75,2,NetBanking,CONFIRMED,Delhi NCR,174707,2026-08-21 07:27:56.658887,2026-08-21
TL-ORD-8A3AF8A1B1,,sess_e7729d89ad4f4589,2550,0.0,0,2550.0,2,COD,CONFIRMED,Chennai,432976,2026-08-22 18:44:12.105246,2026-08-22
TL-ORD-1F543EDEDD,9381.0,sess_c9052bd531984ace,4299,644.85,0,3654.15,2,COD,CONFIRMED,Mumbai,455009,2026-09-05 18:11:14.775864,2026-09-05
