order_id,user_id,session_id,total_amount,discount_amount,delivery_fee,final_amount,delivery_days,payment_method,status,created_at
TL-ORD-D94A805ACC,6167,sess_713f3bda3cc74226,829.00,124.35,99.00,803.65,6,Card,CONFIRMED,2026-09-13T19:38:55.094420+00:00
TL-ORD-424DB8B200,7149,sess_3890382544b849fb,4999.00,0.00,0.00,4999.00,3,Card,CONFIRMED,2026-09-13T19:35:16.351091+00:00
TL-ORD-A0CA13D610,7926,sess_5e16d584b7f14460,1179.00,176.85,0.00,1002.15,2,UPI,CONFIRMED,2026-09-13T19:10:51.893465+00:00
TL-ORD-294A53F3F2,11830,sess_dfe29a03106946c1,1299.00,194.85,0.00,1104.15,3,UPI,CONFIRMED,2026-09-13T19:08:22.424455+00:00
TL-ORD-4D7D749B42,9751,sess_7bb1faabfba947a7,4869.00,0.00,0.00,4869.00,3,UPI,CONFIRMED,2026-09-13T19:04:12.848870+00:00
TL-ORD-E472A1E0B1,,sess_6c8f6842e08f4612,4999.00,0.00,0.00,4999.00,3,UPI,CONFIRMED,2026-09-13T18:39:12.660648+00:00
TL-ORD-FFB767F5F7,11688,sess_c8f4d54b09354b8a,2769.00,415.35,0.00,2353.65,2,COD,CONFIRMED,2026-09-13T18:38:59.498732+00:00
TL-ORD-D62690E011,,sess_cc86261171c14303,4299.00,0.00,0.00,4299.00,2,COD,CONFIRMED,2026-09-13T18:27:41.031404+00:00
TL-ORD-EF8FB0E6A8,8576,sess_91002a5244dc4587,2195.00,329.25,0.00,1865.75,4,NetBanking,CONFIRMED,2026-09-13T18:20:25.569181+00:00
TL-ORD-D58A5F69B2,11625,sess_75c9c383735f4955,984.00,0.00,99.00,1083.00,5,Card,CONFIRMED,2026-09-13T18:08:34.967630+00:00
TL-ORD-3E69209284,7020,sess_a789c9df09d941f1,3471.00,520.65,0.00,2950.35,3,COD,CONFIRMED,2026-09-13T17:54:35.295105+00:00
TL-ORD-A840C304D2,6331,sess_1215c95ece2444ee,2640.00,0.00,0.00,2640.00,3,COD,CONFIRMED,2026-09-13T17:46:27.687016+00:00
TL-ORD-F92CDDCF4F,11557,sess_06ac3daadf7b4129,2936.00,0.00,0.00,2936.00,4,NetBanking,CONFIRMED,2026-09-13T17:46:20.726592+00:00
TL-ORD-6DCFDB73FC,9338,sess_c71b599c6a624029,2799.00,0.00,0.00,2799.00,5,COD,CONFIRMED,2026-09-13T17:45:14.722953+00:00
TL-ORD-8C7304095C,,sess_ea60be27f49c40d0,4499.00,674.85,0.00,3824.15,2,UPI,CONFIRMED,2026-09-13T17:21:53.156421+00:00
TL-ORD-918DCC17F7,,sess_014f135244e34237,3473.00,520.95,0.00,2952.05,3,COD,CONFIRMED,2026-09-13T17:12:59.057114+00:00
TL-ORD-B4245FE088,6854,sess_df584f295bdc440c,841.00,126.15,99.00,813.85,2,UPI,CONFIRMED,2026-09-13T17:11:12.957139+00:00
TL-ORD-F8353BB3AC,10268,sess_535a8e22244a433e,1875.00,0.00,0.00,1875.00,4,NetBanking,CONFIRMED,2026-09-13T17:07:28.959261+00:00
TL-ORD-990C161B5C,7485,sess_66ba9be603c3447d,2799.00,0.00,0.00,2799.00,5,Card,CONFIRMED,2026-09-13T17:05:57.696010+00:00
TL-ORD-7DA67B8F26,9016,sess_ae4760a3dd8048da,1914.00,0.00,0.00,1914.00,3,COD,CONFIRMED,2026-09-13T16:40:15.600346+00:00
TL-ORD-CD7F0BBBD2,,sess_a2a473d278804b3e,4897.00,734.55,0.00,4162.45,3,NetBanking,CONFIRMED,2026-09-13T16:36:04.060019+00:00
TL-ORD-8CDEB6C366,11804,sess_38cb0be6438846a3,2403.00,0.00,0.00,2403.00,2,UPI,CONFIRMED,2026-09-13T16:27:48.551746+00:00
TL-ORD-EFBF4DE1A4,,sess_6cfaa0d8ad8a4ae8,3621.00,0.00,0.00,3621.00,3,COD,CONFIRMED,2026-09-13T16:16:00.125613+00:00
